"id","user_id","lobby_wait_id"
6836,3721,17752
6837,3731,17756
6838,3727,17757
6839,3719,17760
6840,3723,17758
6841,3725,17763
6842,3731,17765
6843,3729,17767
6844,3733,17769
6845,3726,17773
6846,3720,17772
6847,3725,17774
6848,3707,17778
6849,3717,17779
6850,3721,17781
6851,3731,17785
6852,3722,17786
6853,3724,17787
6854,3723,17788
6855,3728,17791
6856,3720,17793
6857,3713,17794
6858,3715,17797
6859,3707,17798
6860,3733,17802
6861,3718,17803
6862,3729,17806
6863,3723,17811
6864,3692,17813
6865,3720,17815
6866,3726,17816
6868,3717,17818
6869,3733,17823
6870,3734,17825
6871,3726,17826
6872,3728,17827
6873,3730,17829
6874,3735,17831
6875,3734,17835
6876,3692,17837
6877,3730,17840
6878,3735,17843
6879,3692,17844
6880,3734,17846
6881,3735,17847
6882,3735,17852
6883,3739,17853
6884,3740,17854
6886,3748,17859
6887,3752,17860
6888,3750,17863
6889,3738,17864
6890,3734,17867
6891,3749,17869
6893,3748,17872
6894,3745,17873
6896,3755,17879
6897,3741,17880
6898,3738,17882
6899,3740,17886
6900,3745,17887
6901,3752,17888
6902,3751,17890
6903,3757,17892
6904,3758,17895
6905,3730,17897
6906,3755,17898
6907,3755,17902
6908,3752,17901
6909,3750,17906
6910,3748,17907
6911,3758,17908
6913,3739,17914
6914,3755,17915
6915,3752,17919
6916,3751,17917
6917,3762,17922
6918,3756,17925
6919,3741,17924
6920,3738,17928
6921,3739,17931
6922,3746,17932
6923,3740,17933
6924,3750,17936
6925,3748,17938
6926,3763,17940
6927,3751,17944
6928,3739,17943
6929,3759,17947
6930,3745,17949
6931,3746,17950
6932,3757,17951
6933,3740,17955
6934,3741,17957
6935,3750,17958
6936,3744,17960
6937,3757,17966
6938,3745,17968
6939,3738,17969
6940,3762,17970
6941,3756,17971
6942,3751,17972
6943,3741,17975
6944,3757,17976
6945,3744,17978
6946,3758,17981
6947,3759,17984
6948,3744,17985
6949,3763,17987
6950,3758,17988
6951,3762,17991
6952,3756,17993
6953,3746,17994
6954,3744,17999
6955,3763,18000
6956,3759,18001
6957,3762,18003
6958,3746,18005
6959,3763,18009
6960,3759,18008
6961,3766,18015
6962,3756,18017
6963,3766,18019
6964,3766,18022
6966,3770,18030
6967,3771,18031
6968,3772,18033
6969,3780,18036
6970,3769,18037
6973,3778,18042
6976,3775,18043
6977,3784,18045
6978,3776,18048
6979,3768,18049
6980,3777,18051
6981,3780,18052
6982,3767,18054
6983,3771,18056
6984,3788,18058
6986,3783,18064
6987,3778,18063
6989,3776,18068
6990,3785,18070
6991,3781,18073
6992,3778,18075
7005,3798,18089
7006,3792,18091
7007,3794,18094
7008,3791,18096
7009,3793,18098
7010,3795,18100
